  Frequency            , dB( V(Vs4)/ V(Ve))   
  1.000000000000e+00  ,-8.646689293870e+01  
  1.002305238078e+00  ,-8.637096666819e+01  
  1.004615790278e+00  ,-8.627505727035e+01  
  1.006931668852e+00  ,-8.617916480741e+01  
  1.009252886077e+00  ,-8.608328934142e+01  
  1.011579454260e+00  ,-8.598743093433e+01  
  1.013911385737e+00  ,-8.589158964856e+01  
  1.016248692871e+00  ,-8.579576554673e+01  
  1.018591388054e+00  ,-8.569995869151e+01  
  1.020939483708e+00  ,-8.560416914557e+01  
  1.023292992281e+00  ,-8.550839697192e+01  
  1.025651926251e+00  ,-8.541264223374e+01  
  1.028016298126e+00  ,-8.531690499421e+01  
  1.030386120442e+00  ,-8.522118531720e+01  
  1.032761405761e+00  ,-8.512548326579e+01  
  1.035142166679e+00  ,-8.502979890420e+01  
  1.037528415818e+00  ,-8.493413229598e+01  
  1.039920165829e+00  ,-8.483848350563e+01  
  1.042317429393e+00  ,-8.474285259675e+01  
  1.044720219221e+00  ,-8.464723963458e+01  
  1.047128548051e+00  ,-8.455164468324e+01  
  1.049542428652e+00  ,-8.445606780712e+01  
  1.051961873823e+00  ,-8.436050907200e+01  
  1.054386896391e+00  ,-8.426496854223e+01  
  1.056817509214e+00  ,-8.416944628291e+01  
  1.059253725177e+00  ,-8.407394235984e+01  
  1.061695557199e+00  ,-8.397845683817e+01  
  1.064143018224e+00  ,-8.388298978355e+01  
  1.066596121230e+00  ,-8.378754126224e+01  
  1.069054879223e+00  ,-8.369211133993e+01  
  1.071519305238e+00  ,-8.359670008252e+01  
  1.073989412341e+00  ,-8.350130755662e+01  
  1.076465213630e+00  ,-8.340593382833e+01  
  1.078946722230e+00  ,-8.331057896444e+01  
  1.081433951298e+00  ,-8.321524303194e+01  
  1.083926914021e+00  ,-8.311992609756e+01  
  1.086425623617e+00  ,-8.302462822790e+01  
  1.088930093333e+00  ,-8.292934949076e+01  
  1.091440336449e+00  ,-8.283408995298e+01  
  1.093956366272e+00  ,-8.273884968239e+01  
  1.096478196143e+00  ,-8.264362874658e+01  
  1.099005839433e+00  ,-8.254842721334e+01  
  1.101539309541e+00  ,-8.245324515041e+01  
  1.104078619902e+00  ,-8.235808262651e+01  
  1.106623783978e+00  ,-8.226293970925e+01  
  1.109174815262e+00  ,-8.216781646737e+01  
  1.111731727282e+00  ,-8.207271296892e+01  
  1.114294533592e+00  ,-8.197762928338e+01  
  1.116863247781e+00  ,-8.188256547921e+01  
  1.119437883467e+00  ,-8.178752162531e+01  
  1.122018454302e+00  ,-8.169249779100e+01  
  1.124604973967e+00  ,-8.159749404523e+01  
  1.127197456176e+00  ,-8.150251045775e+01  
  1.129795914673e+00  ,-8.140754709826e+01  
  1.132400363236e+00  ,-8.131260403611e+01  
  1.135010815672e+00  ,-8.121768134155e+01  
  1.137627285823e+00  ,-8.112277908423e+01  
  1.140249787561e+00  ,-8.102789733452e+01  
  1.142878334790e+00  ,-8.093303616263e+01  
  1.145512941446e+00  ,-8.083819563930e+01  
  1.148153621497e+00  ,-8.074337583473e+01  
  1.150800388944e+00  ,-8.064857681978e+01  
  1.153453257821e+00  ,-8.055379866547e+01  
  1.156112242192e+00  ,-8.045904144252e+01  
  1.158777356155e+00  ,-8.036430522211e+01  
  1.161448613840e+00  ,-8.026959007589e+01  
  1.164126029410e+00  ,-8.017489607488e+01  
  1.166809617061e+00  ,-8.008022329109e+01  
  1.169499391020e+00  ,-7.998557179589e+01  
  1.172195365548e+00  ,-7.989094166105e+01  
  1.174897554940e+00  ,-7.979633295886e+01  
  1.177605973521e+00  ,-7.970174576116e+01  
  1.180320635652e+00  ,-7.960718014028e+01  
  1.183041555725e+00  ,-7.951263616887e+01  
  1.185768748167e+00  ,-7.941811391903e+01  
  1.188502227437e+00  ,-7.932361346372e+01  
  1.191242008027e+00  ,-7.922913487554e+01  
  1.193988104464e+00  ,-7.913467822754e+01  
  1.196740531307e+00  ,-7.904024359260e+01  
  1.199499303149e+00  ,-7.894583104406e+01  
  1.202264434617e+00  ,-7.885144065537e+01  
  1.205035940372e+00  ,-7.875707249957e+01  
  1.207813835107e+00  ,-7.866272665072e+01  
  1.210598133550e+00  ,-7.856840318195e+01  
  1.213388850465e+00  ,-7.847410216760e+01  
  1.216186000646e+00  ,-7.837982368130e+01  
  1.218989598925e+00  ,-7.828556779735e+01  
  1.221799660165e+00  ,-7.819133458983e+01  
  1.224616199265e+00  ,-7.809712413308e+01  
  1.227439231158e+00  ,-7.800293650170e+01  
  1.230268770812e+00  ,-7.790877176996e+01  
  1.233104833229e+00  ,-7.781463001276e+01  
  1.235947433445e+00  ,-7.772051130476e+01  
  1.238796586530e+00  ,-7.762641572118e+01  
  1.241652307592e+00  ,-7.753234333689e+01  
  1.244514611771e+00  ,-7.743829422722e+01  
  1.247383514243e+00  ,-7.734426846716e+01  
  1.250259030218e+00  ,-7.725026613244e+01  
  1.253141174941e+00  ,-7.715628729840e+01  
  1.256029963695e+00  ,-7.706233204071e+01  
  1.258925411794e+00  ,-7.696840043521e+01  
  1.261827534591e+00  ,-7.687449255775e+01  
  1.264736347471e+00  ,-7.678060848440e+01  
  1.267651865858e+00  ,-7.668674829082e+01  
  1.270574105209e+00  ,-7.659291205395e+01  
  1.273503081017e+00  ,-7.649909984946e+01  
  1.276438808811e+00  ,-7.640531175420e+01  
  1.279381304158e+00  ,-7.631154784457e+01  
  1.282330582656e+00  ,-7.621780819725e+01  
  1.285286659944e+00  ,-7.612409288870e+01  
  1.288249551693e+00  ,-7.603040199616e+01  
  1.291219273614e+00  ,-7.593673559653e+01  
  1.294195841450e+00  ,-7.584309376666e+01  
  1.297179270984e+00  ,-7.574947658410e+01  
  1.300169578033e+00  ,-7.565588412569e+01  
  1.303166778452e+00  ,-7.556231646896e+01  
  1.306170888132e+00  ,-7.546877369145e+01  
  1.309181922999e+00  ,-7.537525587066e+01  
  1.312199899019e+00  ,-7.528176308455e+01  
  1.315224832192e+00  ,-7.518829541044e+01  
  1.318256738556e+00  ,-7.509485292635e+01  
  1.321295634187e+00  ,-7.500143571014e+01  
  1.324341535195e+00  ,-7.490804384024e+01  
  1.327394457730e+00  ,-7.481467739442e+01  
  1.330454417978e+00  ,-7.472133645107e+01  
  1.333521432163e+00  ,-7.462802108829e+01  
  1.336595516546e+00  ,-7.453473138464e+01  
  1.339676687426e+00  ,-7.444146741873e+01  
  1.342764961138e+00  ,-7.434822926914e+01  
  1.345860354056e+00  ,-7.425501701444e+01  
  1.348962882592e+00  ,-7.416183073346e+01  
  1.352072563194e+00  ,-7.406867050474e+01  
  1.355189412351e+00  ,-7.397553640770e+01  
  1.358313446587e+00  ,-7.388242852085e+01  
  1.361444682466e+00  ,-7.378934692353e+01  
  1.364583136589e+00  ,-7.369629169514e+01  
  1.367728825596e+00  ,-7.360326291436e+01  
  1.370881766165e+00  ,-7.351026066103e+01  
  1.374041975013e+00  ,-7.341728501416e+01  
  1.377209468894e+00  ,-7.332433605321e+01  
  1.380384264603e+00  ,-7.323141385804e+01  
  1.383566378972e+00  ,-7.313851850804e+01  
  1.386755828872e+00  ,-7.304565008278e+01  
  1.389952631213e+00  ,-7.295280866245e+01  
  1.393156802945e+00  ,-7.285999432621e+01  
  1.396368361056e+00  ,-7.276720715440e+01  
  1.399587322573e+00  ,-7.267444722692e+01  
  1.402813704562e+00  ,-7.258171462371e+01  
  1.406047524130e+00  ,-7.248900942468e+01  
  1.409288798422e+00  ,-7.239633171023e+01  
  1.412537544623e+00  ,-7.230368156044e+01  
  1.415793779957e+00  ,-7.221105905554e+01  
  1.419057521689e+00  ,-7.211846427565e+01  
  1.422328787123e+00  ,-7.202589730135e+01  
  1.425607593602e+00  ,-7.193335821319e+01  
  1.428893958511e+00  ,-7.184084709121e+01  
  1.432187899274e+00  ,-7.174836401646e+01  
  1.435489433354e+00  ,-7.165590906899e+01  
  1.438798578256e+00  ,-7.156348232969e+01  
  1.442115351525e+00  ,-7.147108387929e+01  
  1.445439770746e+00  ,-7.137871379832e+01  
  1.448771853545e+00  ,-7.128637216755e+01  
  1.452111617588e+00  ,-7.119405906787e+01  
  1.455459080582e+00  ,-7.110177458013e+01  
  1.458814260275e+00  ,-7.100951878483e+01  
  1.462177174457e+00  ,-7.091729176331e+01  
  1.465547840956e+00  ,-7.082509359655e+01  
  1.468926277644e+00  ,-7.073292436530e+01  
  1.472312502433e+00  ,-7.064078415057e+01  
  1.475706533276e+00  ,-7.054867303348e+01  
  1.479108388168e+00  ,-7.045659109505e+01  
  1.482518085146e+00  ,-7.036453841651e+01  
  1.485935642287e+00  ,-7.027251507926e+01  
  1.489361077711e+00  ,-7.018052116389e+01  
  1.492794409579e+00  ,-7.008855675178e+01  
  1.496235656094e+00  ,-6.999662192431e+01  
  1.499684835502e+00  ,-6.990471676249e+01  
  1.503141966090e+00  ,-6.981284134777e+01  
  1.506607066187e+00  ,-6.972099576131e+01  
  1.510080154164e+00  ,-6.962918008456e+01  
  1.513561248436e+00  ,-6.953739439851e+01  
  1.517050367459e+00  ,-6.944563878472e+01  
  1.520547529732e+00  ,-6.935391332432e+01  
  1.524052753797e+00  ,-6.926221809868e+01  
  1.527566058238e+00  ,-6.917055318919e+01  
  1.531087461682e+00  ,-6.907891867740e+01  
  1.534616982799e+00  ,-6.898731464429e+01  
  1.538154640303e+00  ,-6.889574117149e+01  
  1.541700452950e+00  ,-6.880419834027e+01  
  1.545254439538e+00  ,-6.871268623195e+01  
  1.548816618912e+00  ,-6.862120492783e+01  
  1.552387009958e+00  ,-6.852975450933e+01  
  1.555965631605e+00  ,-6.843833505788e+01  
  1.559552502827e+00  ,-6.834694665462e+01  
  1.563147642641e+00  ,-6.825558938101e+01  
  1.566751070108e+00  ,-6.816426331836e+01  
  1.570362804334e+00  ,-6.807296854791e+01  
  1.573982864466e+00  ,-6.798170515112e+01  
  1.577611269699e+00  ,-6.789047320888e+01  
  1.581248039270e+00  ,-6.779927280288e+01  
  1.584893192461e+00  ,-6.770810401415e+01  
  1.588546748598e+00  ,-6.761696692380e+01  
  1.592208727051e+00  ,-6.752586161321e+01  
  1.595879147237e+00  ,-6.743478816348e+01  
  1.599558028615e+00  ,-6.734374665562e+01  
  1.603245390690e+00  ,-6.725273717079e+01  
  1.606941253013e+00  ,-6.716175979032e+01  
  1.610645635178e+00  ,-6.707081459487e+01  
  1.614358556826e+00  ,-6.697990166561e+01  
  1.618080037643e+00  ,-6.688902108364e+01  
  1.621810097359e+00  ,-6.679817292964e+01  
  1.625548755750e+00  ,-6.670735728453e+01  
  1.629296032640e+00  ,-6.661657422940e+01  
  1.633051947894e+00  ,-6.652582384494e+01  
  1.636816521428e+00  ,-6.643510621156e+01  
  1.640589773200e+00  ,-6.634442141060e+01  
  1.644371723215e+00  ,-6.625376952232e+01  
  1.648162391525e+00  ,-6.616315062731e+01  
  1.651961798229e+00  ,-6.607256480629e+01  
  1.655769963470e+00  ,-6.598201213954e+01  
  1.659586907438e+00  ,-6.589149270770e+01  
  1.663412650370e+00  ,-6.580100659105e+01  
  1.667247212551e+00  ,-6.571055387008e+01  
  1.671090614311e+00  ,-6.562013462482e+01  
  1.674942876026e+00  ,-6.552974893549e+01  
  1.678804018123e+00  ,-6.543939688247e+01  
  1.682674061070e+00  ,-6.534907854525e+01  
  1.686553025389e+00  ,-6.525879400438e+01  
  1.690440931643e+00  ,-6.516854333953e+01  
  1.694337800447e+00  ,-6.507832663040e+01  
  1.698243652462e+00  ,-6.498814395698e+01  
  1.702158508395e+00  ,-6.489799539872e+01  
  1.706082389003e+00  ,-6.480788103520e+01  
  1.710015315090e+00  ,-6.471780094625e+01  
  1.713957307508e+00  ,-6.462775521093e+01  
  1.717908387158e+00  ,-6.453774390871e+01  
  1.721868574986e+00  ,-6.444776711869e+01  
  1.725837891990e+00  ,-6.435782492041e+01  
  1.729816359215e+00  ,-6.426791739237e+01  
  1.733803997754e+00  ,-6.417804461403e+01  
  1.737800828749e+00  ,-6.408820666378e+01  
  1.741806873392e+00  ,-6.399840362074e+01  
  1.745822152920e+00  ,-6.390863556330e+01  
  1.749846688625e+00  ,-6.381890257010e+01  
  1.753880501842e+00  ,-6.372920471964e+01  
