  Frequency            , V(Ve)/ I(C1)         
  1.000000000000e+00  ,1.676920185296e+05  
  1.002305238078e+00  ,1.673446294539e+05  
  1.004615790278e+00  ,1.669981186590e+05  
  1.006931668852e+00  ,1.666524842520e+05  
  1.009252886077e+00  ,1.663077243436e+05  
  1.011579454260e+00  ,1.659638370499e+05  
  1.013911385737e+00  ,1.656208204903e+05  
  1.016248692871e+00  ,1.652786727889e+05  
  1.018591388054e+00  ,1.649373920743e+05  
  1.020939483708e+00  ,1.645969764792e+05  
  1.023292992281e+00  ,1.642574241408e+05  
  1.025651926251e+00  ,1.639187332002e+05  
  1.028016298126e+00  ,1.635809018024e+05  
  1.030386120442e+00  ,1.632439280969e+05  
  1.032761405761e+00  ,1.629078102385e+05  
  1.035142166679e+00  ,1.625725463844e+05  
  1.037528415818e+00  ,1.622381346973e+05  
  1.039920165829e+00  ,1.619045733431e+05  
  1.042317429393e+00  ,1.615718604934e+05  
  1.044720219221e+00  ,1.612399943216e+05  
  1.047128548051e+00  ,1.609089730073e+05  
  1.049542428652e+00  ,1.605787947333e+05  
  1.051961873823e+00  ,1.602494576866e+05  
  1.054386896391e+00  ,1.599209600588e+05  
  1.056817509214e+00  ,1.595933000449e+05  
  1.059253725177e+00  ,1.592664758444e+05  
  1.061695557199e+00  ,1.589404856606e+05  
  1.064143018224e+00  ,1.586153277014e+05  
  1.066596121230e+00  ,1.582910001779e+05  
  1.069054879223e+00  ,1.579675013059e+05  
  1.071519305238e+00  ,1.576448293052e+05  
  1.073989412341e+00  ,1.573229823993e+05  
  1.076465213630e+00  ,1.570019588159e+05  
  1.078946722230e+00  ,1.566817567870e+05  
  1.081433951298e+00  ,1.563623745473e+05  
  1.083926914021e+00  ,1.560438103367e+05  
  1.086425623617e+00  ,1.557260623997e+05  
  1.088930093333e+00  ,1.554091289832e+05  
  1.091440336449e+00  ,1.550930083382e+05  
  1.093956366272e+00  ,1.547776987210e+05  
  1.096478196143e+00  ,1.544631983900e+05  
  1.099005839433e+00  ,1.541495056093e+05  
  1.101539309541e+00  ,1.538366186452e+05  
  1.104078619902e+00  ,1.535245357687e+05  
  1.106623783978e+00  ,1.532132552557e+05  
  1.109174815262e+00  ,1.529027753838e+05  
  1.111731727282e+00  ,1.525930944364e+05  
  1.114294533592e+00  ,1.522842106990e+05  
  1.116863247781e+00  ,1.519761224627e+05  
  1.119437883467e+00  ,1.516688280209e+05  
  1.122018454302e+00  ,1.513623256720e+05  
  1.124604973967e+00  ,1.510566137173e+05  
  1.127197456176e+00  ,1.507516904625e+05  
  1.129795914673e+00  ,1.504475542167e+05  
  1.132400363236e+00  ,1.501442032929e+05  
  1.135010815672e+00  ,1.498416360080e+05  
  1.137627285823e+00  ,1.495398506822e+05  
  1.140249787561e+00  ,1.492388456399e+05  
  1.142878334790e+00  ,1.489386192091e+05  
  1.145512941446e+00  ,1.486391697212e+05  
  1.148153621497e+00  ,1.483404955117e+05  
  1.150800388944e+00  ,1.480425949196e+05  
  1.153453257821e+00  ,1.477454662879e+05  
  1.156112242192e+00  ,1.474491079627e+05  
  1.158777356155e+00  ,1.471535182943e+05  
  1.161448613840e+00  ,1.468586956360e+05  
  1.164126029410e+00  ,1.465646383453e+05  
  1.166809617061e+00  ,1.462713447830e+05  
