  Frequency            , DB(V(Vs4)/ I(C7))    
  1.000000000000e+00  ,1.040391365446e+02  
  1.002305238078e+00  ,1.040191478480e+02  
  1.004615790278e+00  ,1.039991591927e+02  
  1.006931668852e+00  ,1.039791705787e+02  
  1.009252886077e+00  ,1.039591820063e+02  
  1.011579454260e+00  ,1.039391934754e+02  
  1.013911385737e+00  ,1.039192049862e+02  
  1.016248692871e+00  ,1.038992165388e+02  
  1.018591388054e+00  ,1.038792281333e+02  
  1.020939483708e+00  ,1.038592397698e+02  
  1.023292992281e+00  ,1.038392514485e+02  
  1.025651926251e+00  ,1.038192631694e+02  
  1.028016298126e+00  ,1.037992749325e+02  
  1.030386120442e+00  ,1.037792867382e+02  
  1.032761405761e+00  ,1.037592985863e+02  
  1.035142166679e+00  ,1.037393104771e+02  
  1.037528415818e+00  ,1.037193224106e+02  
  1.039920165829e+00  ,1.036993343870e+02  
  1.042317429393e+00  ,1.036793464063e+02  
  1.044720219221e+00  ,1.036593584687e+02  
  1.047128548051e+00  ,1.036393705742e+02  
  1.049542428652e+00  ,1.036193827229e+02  
  1.051961873823e+00  ,1.035993949151e+02  
  1.054386896391e+00  ,1.035794071507e+02  
  1.056817509214e+00  ,1.035594194298e+02  
  1.059253725177e+00  ,1.035394317527e+02  
  1.061695557199e+00  ,1.035194441193e+02  
  1.064143018224e+00  ,1.034994565297e+02  
  1.066596121230e+00  ,1.034794689842e+02  
  1.069054879223e+00  ,1.034594814827e+02  
  1.071519305238e+00  ,1.034394940253e+02  
  1.073989412341e+00  ,1.034195066123e+02  
  1.076465213630e+00  ,1.033995192436e+02  
  1.078946722230e+00  ,1.033795319194e+02  
  1.081433951298e+00  ,1.033595446398e+02  
  1.083926914021e+00  ,1.033395574049e+02  
  1.086425623617e+00  ,1.033195702147e+02  
  1.088930093333e+00  ,1.032995830694e+02  
  1.091440336449e+00  ,1.032795959691e+02  
  1.093956366272e+00  ,1.032596089139e+02  
  1.096478196143e+00  ,1.032396219038e+02  
  1.099005839433e+00  ,1.032196349390e+02  
  1.101539309541e+00  ,1.031996480196e+02  
  1.104078619902e+00  ,1.031796611456e+02  
  1.106623783978e+00  ,1.031596743172e+02  
  1.109174815262e+00  ,1.031396875345e+02  
  1.111731727282e+00  ,1.031197007975e+02  
  1.114294533592e+00  ,1.030997141064e+02  
  1.116863247781e+00  ,1.030797274612e+02  
  1.119437883467e+00  ,1.030597408621e+02  
  1.122018454302e+00  ,1.030397543091e+02  
  1.124604973967e+00  ,1.030197678024e+02  
  1.127197456176e+00  ,1.029997813420e+02  
  1.129795914673e+00  ,1.029797949280e+02  
  1.132400363236e+00  ,1.029598085605e+02  
  1.135010815672e+00  ,1.029398222397e+02  
  1.137627285823e+00  ,1.029198359656e+02  
  1.140249787561e+00  ,1.028998497382e+02  
  1.142878334790e+00  ,1.028798635578e+02  
  1.145512941446e+00  ,1.028598774244e+02  
  1.148153621497e+00  ,1.028398913380e+02  
  1.150800388944e+00  ,1.028199052988e+02  
  1.153453257821e+00  ,1.027999193069e+02  
  1.156112242192e+00  ,1.027799333623e+02  
  1.158777356155e+00  ,1.027599474652e+02  
  1.161448613840e+00  ,1.027399616156e+02  
  1.164126029410e+00  ,1.027199758137e+02  
  1.166809617061e+00  ,1.026999900595e+02  
  1.169499391020e+00  ,1.026800043530e+02  
  1.172195365548e+00  ,1.026600186945e+02  
  1.174897554940e+00  ,1.026400330839e+02  
  1.177605973521e+00  ,1.026200475215e+02  
  1.180320635652e+00  ,1.026000620071e+02  
  1.183041555725e+00  ,1.025800765411e+02  
  1.185768748167e+00  ,1.025600911233e+02  
  1.188502227437e+00  ,1.025401057540e+02  
  1.191242008027e+00  ,1.025201204332e+02  
  1.193988104464e+00  ,1.025001351610e+02  
  1.196740531307e+00  ,1.024801499374e+02  
  1.199499303149e+00  ,1.024601647626e+02  
  1.202264434617e+00  ,1.024401796366e+02  
  1.205035940372e+00  ,1.024201945596e+02  
  1.207813835107e+00  ,1.024002095316e+02  
  1.210598133550e+00  ,1.023802245526e+02  
  1.213388850465e+00  ,1.023602396229e+02  
  1.216186000646e+00  ,1.023402547424e+02  
  1.218989598925e+00  ,1.023202699112e+02  
  1.221799660165e+00  ,1.023002851294e+02  
  1.224616199265e+00  ,1.022803003972e+02  
