  Frequency            , P( V(Vs4))           
  1.000000000000e+00  ,-1.300619641640e+02  
  1.002305238078e+00  ,-1.301483982526e+02  
  1.004615790278e+00  ,-1.302349939744e+02  
  1.006931668852e+00  ,-1.303217514763e+02  
  1.009252886077e+00  ,-1.304086709053e+02  
  1.011579454260e+00  ,-1.304957524078e+02  
  1.013911385737e+00  ,-1.305829961289e+02  
  1.016248692871e+00  ,-1.306704022125e+02  
  1.018591388054e+00  ,-1.307579708023e+02  
  1.020939483708e+00  ,-1.308457020410e+02  
  1.023292992281e+00  ,-1.309335960703e+02  
  1.025651926251e+00  ,-1.310216530307e+02  
  1.028016298126e+00  ,-1.311098730623e+02  
  1.030386120442e+00  ,-1.311982563033e+02  
  1.032761405761e+00  ,-1.312868028926e+02  
  1.035142166679e+00  ,-1.313755129666e+02  
  1.037528415818e+00  ,-1.314643866622e+02  
  1.039920165829e+00  ,-1.315534241135e+02  
  1.042317429393e+00  ,-1.316426254565e+02  
  1.044720219221e+00  ,-1.317319908224e+02  
  1.047128548051e+00  ,-1.318215203444e+02  
  1.049542428652e+00  ,-1.319112141550e+02  
  1.051961873823e+00  ,-1.320010723822e+02  
  1.054386896391e+00  ,-1.320910951572e+02  
  1.056817509214e+00  ,-1.321812826083e+02  
  1.059253725177e+00  ,-1.322716348620e+02  
  1.061695557199e+00  ,-1.323621520456e+02  
  1.064143018224e+00  ,-1.324528342844e+02  
  1.066596121230e+00  ,-1.325436817017e+02  
  1.069054879223e+00  ,-1.326346944216e+02  
  1.071519305238e+00  ,-1.327258725667e+02  
  1.073989412341e+00  ,-1.328172162577e+02  
  1.076465213630e+00  ,-1.329087256154e+02  
  1.078946722230e+00  ,-1.330004007586e+02  
  1.081433951298e+00  ,-1.330922418046e+02  
  1.083926914021e+00  ,-1.331842488711e+02  
  1.086425623617e+00  ,-1.332764220748e+02  
  1.088930093333e+00  ,-1.333687615294e+02  
  1.091440336449e+00  ,-1.334612673493e+02  
  1.093956366272e+00  ,-1.335539396469e+02  
  1.096478196143e+00  ,-1.336467785339e+02  
  1.099005839433e+00  ,-1.337397841205e+02  
  1.101539309541e+00  ,-1.338329565165e+02  
  1.104078619902e+00  ,-1.339262958288e+02  
  1.106623783978e+00  ,-1.340198021657e+02  
  1.109174815262e+00  ,-1.341134756327e+02  
  1.111731727282e+00  ,-1.342073163354e+02  
  1.114294533592e+00  ,-1.343013243756e+02  
  1.116863247781e+00  ,-1.343954998568e+02  
  1.119437883467e+00  ,-1.344898428802e+02  
  1.122018454302e+00  ,-1.345843535456e+02  
  1.124604973967e+00  ,-1.346790319527e+02  
  1.127197456176e+00  ,-1.347738781982e+02  
  1.129795914673e+00  ,-1.348688923787e+02  
  1.132400363236e+00  ,-1.349640745900e+02  
  1.135010815672e+00  ,-1.350594249254e+02  
  1.137627285823e+00  ,-1.351549434786e+02  
  1.140249787561e+00  ,-1.352506303405e+02  
  1.142878334790e+00  ,-1.353464856018e+02  
  1.145512941446e+00  ,-1.354425093512e+02  
  1.148153621497e+00  ,-1.355387016767e+02  
  1.150800388944e+00  ,-1.356350626653e+02  
  1.153453257821e+00  ,-1.357315924016e+02  
  1.156112242192e+00  ,-1.358282909703e+02  
  1.158777356155e+00  ,-1.359251584541e+02  
  1.161448613840e+00  ,-1.360221949340e+02  
  1.164126029410e+00  ,-1.361194004904e+02  
  1.166809617061e+00  ,-1.362167752016e+02  
  1.169499391020e+00  ,-1.363143191457e+02  
  1.172195365548e+00  ,-1.364120323991e+02  
  1.174897554940e+00  ,-1.365099150360e+02  
  1.177605973521e+00  ,-1.366079671306e+02  
  1.180320635652e+00  ,-1.367061887548e+02  
  1.183041555725e+00  ,-1.368045799788e+02  
  1.185768748167e+00  ,-1.369031408731e+02  
  1.188502227437e+00  ,-1.370018715052e+02  
  1.191242008027e+00  ,-1.371007719420e+02  
  1.193988104464e+00  ,-1.371998422487e+02  
