  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.000000000000e+00  ,-9.659266512912e+01  ,-5.402013785010e+01  
  1.002305238078e+00  ,-9.647881296695e+01  ,-5.394421665416e+01  
  1.004615790278e+00  ,-9.636498624027e+01  ,-5.386831235262e+01  
  1.006931668852e+00  ,-9.625118504234e+01  ,-5.379242500745e+01  
  1.009252886077e+00  ,-9.613740946681e+01  ,-5.371655468106e+01  
  1.011579454260e+00  ,-9.602365960669e+01  ,-5.364070143526e+01  
  1.013911385737e+00  ,-9.590993555589e+01  ,-5.356486533282e+01  
  1.016248692871e+00  ,-9.579623740854e+01  ,-5.348904643638e+01  
  1.018591388054e+00  ,-9.568256525880e+01  ,-5.341324480858e+01  
  1.020939483708e+00  ,-9.556891920104e+01  ,-5.333746051233e+01  
  1.023292992281e+00  ,-9.545529932995e+01  ,-5.326169361058e+01  
  1.025651926251e+00  ,-9.534170574004e+01  ,-5.318594416655e+01  
  1.028016298126e+00  ,-9.522813852718e+01  ,-5.311021224384e+01  
  1.030386120442e+00  ,-9.511459778678e+01  ,-5.303449790606e+01  
  1.032761405761e+00  ,-9.500108361385e+01  ,-5.295880121653e+01  
  1.035142166679e+00  ,-9.488759610473e+01  ,-5.288312223950e+01  
  1.037528415818e+00  ,-9.477413535539e+01  ,-5.280746103868e+01  
  1.039920165829e+00  ,-9.466070146196e+01  ,-5.273181767859e+01  
  1.042317429393e+00  ,-9.454729452114e+01  ,-5.265619222296e+01  
  1.044720219221e+00  ,-9.443391463023e+01  ,-5.258058473705e+01  
  1.047128548051e+00  ,-9.432056188551e+01  ,-5.250499528512e+01  
  1.049542428652e+00  ,-9.420723638470e+01  ,-5.242942393197e+01  
  1.051961873823e+00  ,-9.409393822521e+01  ,-5.235387074276e+01  
  1.054386896391e+00  ,-9.398066750496e+01  ,-5.227833578239e+01  
  1.056817509214e+00  ,-9.386742432160e+01  ,-5.220281911619e+01  
  1.059253725177e+00  ,-9.375420877349e+01  ,-5.212732080970e+01  
  1.061695557199e+00  ,-9.364102095904e+01  ,-5.205184092843e+01  
  1.064143018224e+00  ,-9.352786097691e+01  ,-5.197637953807e+01  
  1.066596121230e+00  ,-9.341472892613e+01  ,-5.190093670472e+01  
  1.069054879223e+00  ,-9.330162490581e+01  ,-5.182551249436e+01  
  1.071519305238e+00  ,-9.318854901522e+01  ,-5.175010697307e+01  
  1.073989412341e+00  ,-9.307550135399e+01  ,-5.167472020738e+01  
  1.076465213630e+00  ,-9.296248202175e+01  ,-5.159935226374e+01  
  1.078946722230e+00  ,-9.284949111867e+01  ,-5.152400320871e+01  
  1.081433951298e+00  ,-9.273652874545e+01  ,-5.144867310950e+01  
  1.083926914021e+00  ,-9.262359500231e+01  ,-5.137336203299e+01  
  1.086425623617e+00  ,-9.251068998960e+01  ,-5.129807004593e+01  
  1.088930093333e+00  ,-9.239781380856e+01  ,-5.122279721582e+01  
  1.091440336449e+00  ,-9.228496656036e+01  ,-5.114754361034e+01  
  1.093956366272e+00  ,-9.217214834655e+01  ,-5.107230929669e+01  
  1.096478196143e+00  ,-9.205935926874e+01  ,-5.099709434308e+01  
  1.099005839433e+00  ,-9.194659942830e+01  ,-5.092189881689e+01  
  1.101539309541e+00  ,-9.183386892798e+01  ,-5.084672278658e+01  
  1.104078619902e+00  ,-9.172116787000e+01  ,-5.077156632038e+01  
  1.106623783978e+00  ,-9.160849635652e+01  ,-5.069642948616e+01  
  1.109174815262e+00  ,-9.149585449036e+01  ,-5.062131235286e+01  
  1.111731727282e+00  ,-9.138324237434e+01  ,-5.054621498882e+01  
  1.114294533592e+00  ,-9.127066011229e+01  ,-5.047113746328e+01  
  1.116863247781e+00  ,-9.115810780708e+01  ,-5.039607984476e+01  
  1.119437883467e+00  ,-9.104558556258e+01  ,-5.032104220259e+01  
  1.122018454302e+00  ,-9.093309348233e+01  ,-5.024602460582e+01  
  1.124604973967e+00  ,-9.082063167065e+01  ,-5.017102712405e+01  
  1.127197456176e+00  ,-9.070820023175e+01  ,-5.009604982663e+01  
  1.129795914673e+00  ,-9.059579927008e+01  ,-5.002109278342e+01  
  1.132400363236e+00  ,-9.048342889033e+01  ,-4.994615606408e+01  
  1.135010815672e+00  ,-9.037108919741e+01  ,-4.987123973855e+01  
  1.137627285823e+00  ,-9.025878029683e+01  ,-4.979634387717e+01  
  1.140249787561e+00  ,-9.014650229344e+01  ,-4.972146855004e+01  
  1.142878334790e+00  ,-9.003425529280e+01  ,-4.964661382757e+01  
  1.145512941446e+00  ,-8.992203940114e+01  ,-4.957177978042e+01  
  1.148153621497e+00  ,-8.980985472407e+01  ,-4.949696647914e+01  
  1.150800388944e+00  ,-8.969770136794e+01  ,-4.942217399476e+01  
  1.153453257821e+00  ,-8.958557943911e+01  ,-4.934740239793e+01  
  1.156112242192e+00  ,-8.947348904394e+01  ,-4.927265175996e+01  
  1.158777356155e+00  ,-8.936143028958e+01  ,-4.919792215209e+01  
  1.161448613840e+00  ,-8.924940328321e+01  ,-4.912321364578e+01  
  1.164126029410e+00  ,-8.913740813159e+01  ,-4.904852631246e+01  
  1.166809617061e+00  ,-8.902544494239e+01  ,-4.897386022393e+01  
  1.169499391020e+00  ,-8.891351382323e+01  ,-4.889921545194e+01  
  1.172195365548e+00  ,-8.880161488189e+01  ,-4.882459206826e+01  
  1.174897554940e+00  ,-8.868974822672e+01  ,-4.874999014538e+01  
  1.177605973521e+00  ,-8.857791396526e+01  ,-4.867540975499e+01  
  1.180320635652e+00  ,-8.846611220672e+01  ,-4.860085096990e+01  
  1.183041555725e+00  ,-8.835434305944e+01  ,-4.852631386252e+01  
  1.185768748167e+00  ,-8.824260663206e+01  ,-4.845179850524e+01  
  1.188502227437e+00  ,-8.813090303389e+01  ,-4.837730497105e+01  
  1.191242008027e+00  ,-8.801923237402e+01  ,-4.830283333265e+01  
  1.193988104464e+00  ,-8.790759476207e+01  ,-4.822838366344e+01  
  1.196740531307e+00  ,-8.779599030754e+01  ,-4.815395603627e+01  
  1.199499303149e+00  ,-8.768441911978e+01  ,-4.807955052425e+01  
  1.202264434617e+00  ,-8.757288130959e+01  ,-4.800516720130e+01  
  1.205035940372e+00  ,-8.746137698672e+01  ,-4.793080614049e+01  
  1.207813835107e+00  ,-8.734990626167e+01  ,-4.785646741601e+01  
  1.210598133550e+00  ,-8.723846924499e+01  ,-4.778215110123e+01  
  1.213388850465e+00  ,-8.712706604737e+01  ,-4.770785727038e+01  
  1.216186000646e+00  ,-8.701569677981e+01  ,-4.763358599719e+01  
  1.218989598925e+00  ,-8.690436155364e+01  ,-4.755933735626e+01  
  1.221799660165e+00  ,-8.679306047996e+01  ,-4.748511142167e+01  
  1.224616199265e+00  ,-8.668179367017e+01  ,-4.741090826786e+01  
  1.227439231158e+00  ,-8.657056123643e+01  ,-4.733672796953e+01  
  1.230268770812e+00  ,-8.645936328984e+01  ,-4.726257060112e+01  
  1.233104833229e+00  ,-8.634819994301e+01  ,-4.718843623758e+01  
  1.235947433445e+00  ,-8.623707130792e+01  ,-4.711432495385e+01  
