  Frequency            , dB( V(Vs5)/ V(Ve))   , dB( V(Vs3)/ V(Ve))   
  1.000000000000e+00  ,-9.659266666802e+01  ,-5.402013938901e+01  
  1.002305238078e+00  ,-9.647881451298e+01  ,-5.394421820019e+01  
  1.004615790278e+00  ,-9.636498779347e+01  ,-5.386831390582e+01  
  1.006931668852e+00  ,-9.625118660269e+01  ,-5.379242656780e+01  
  1.009252886077e+00  ,-9.613741103435e+01  ,-5.371655624861e+01  
  1.011579454260e+00  ,-9.602366118151e+01  ,-5.364070301008e+01  
  1.013911385737e+00  ,-9.590993713804e+01  ,-5.356486691497e+01  
  1.016248692871e+00  ,-9.579623899797e+01  ,-5.348904802582e+01  
  1.018591388054e+00  ,-9.568256685561e+01  ,-5.341324640540e+01  
  1.020939483708e+00  ,-9.556892080520e+01  ,-5.333746211649e+01  
  1.023292992281e+00  ,-9.545530094155e+01  ,-5.326169522218e+01  
  1.025651926251e+00  ,-9.534170735909e+01  ,-5.318594578560e+01  
  1.028016298126e+00  ,-9.522814015372e+01  ,-5.311021387039e+01  
  1.030386120442e+00  ,-9.511459942089e+01  ,-5.303449954017e+01  
  1.032761405761e+00  ,-9.500108525548e+01  ,-5.295880285816e+01  
  1.035142166679e+00  ,-9.488759775394e+01  ,-5.288312388871e+01  
  1.037528415818e+00  ,-9.477413701224e+01  ,-5.280746269554e+01  
  1.039920165829e+00  ,-9.466070312649e+01  ,-5.273181934312e+01  
  1.042317429393e+00  ,-9.454729619336e+01  ,-5.265619389518e+01  
  1.044720219221e+00  ,-9.443391631021e+01  ,-5.258058641703e+01  
  1.047128548051e+00  ,-9.432056357324e+01  ,-5.250499697285e+01  
  1.049542428652e+00  ,-9.420723808024e+01  ,-5.242942562752e+01  
  1.051961873823e+00  ,-9.409393992860e+01  ,-5.235387244614e+01  
  1.054386896391e+00  ,-9.398066921624e+01  ,-5.227833749367e+01  
  1.056817509214e+00  ,-9.386742604076e+01  ,-5.220282083536e+01  
  1.059253725177e+00  ,-9.375421050062e+01  ,-5.212732253683e+01  
  1.061695557199e+00  ,-9.364102269419e+01  ,-5.205184266358e+01  
  1.064143018224e+00  ,-9.352786272008e+01  ,-5.197638128124e+01  
  1.066596121230e+00  ,-9.341473067735e+01  ,-5.190093845594e+01  
  1.069054879223e+00  ,-9.330162666517e+01  ,-5.182551425372e+01  
  1.071519305238e+00  ,-9.318855078271e+01  ,-5.175010874056e+01  
  1.073989412341e+00  ,-9.307550312962e+01  ,-5.167472198301e+01  
  1.076465213630e+00  ,-9.296248380563e+01  ,-5.159935404761e+01  
  1.078946722230e+00  ,-9.284949291078e+01  ,-5.152400500082e+01  
  1.081433951298e+00  ,-9.273653054581e+01  ,-5.144867490987e+01  
  1.083926914021e+00  ,-9.262359681103e+01  ,-5.137336384171e+01  
  1.086425623617e+00  ,-9.251069180667e+01  ,-5.129807186300e+01  
  1.088930093333e+00  ,-9.239781563409e+01  ,-5.122279904134e+01  
  1.091440336449e+00  ,-9.228496839431e+01  ,-5.114754544428e+01  
  1.093956366272e+00  ,-9.217215018897e+01  ,-5.107231113911e+01  
  1.096478196143e+00  ,-9.205936111969e+01  ,-5.099709619403e+01  
  1.099005839433e+00  ,-9.194660128781e+01  ,-5.092190067640e+01  
  1.101539309541e+00  ,-9.183387079609e+01  ,-5.084672465470e+01  
  1.104078619902e+00  ,-9.172116974677e+01  ,-5.077156819715e+01  
  1.106623783978e+00  ,-9.160849824196e+01  ,-5.069643137160e+01  
  1.109174815262e+00  ,-9.149585638454e+01  ,-5.062131424704e+01  
  1.111731727282e+00  ,-9.138324427728e+01  ,-5.054621689176e+01  
  1.114294533592e+00  ,-9.127066202401e+01  ,-5.047113937501e+01  
  1.116863247781e+00  ,-9.115810972765e+01  ,-5.039608176533e+01  
  1.119437883467e+00  ,-9.104558749202e+01  ,-5.032104413203e+01  
  1.122018454302e+00  ,-9.093309542075e+01  ,-5.024602654424e+01  
  1.124604973967e+00  ,-9.082063361802e+01  ,-5.017102907142e+01  
  1.127197456176e+00  ,-9.070820218813e+01  ,-5.009605178301e+01  
  1.129795914673e+00  ,-9.059580123550e+01  ,-5.002109474884e+01  
  1.132400363236e+00  ,-9.048343086485e+01  ,-4.994615803859e+01  
  1.135010815672e+00  ,-9.037109118106e+01  ,-4.987124172221e+01  
  1.137627285823e+00  ,-9.025878228966e+01  ,-4.979634587000e+01  
  1.140249787561e+00  ,-9.014650429551e+01  ,-4.972147055211e+01  
  1.142878334790e+00  ,-9.003425730411e+01  ,-4.964661583888e+01  
  1.145512941446e+00  ,-8.992204142181e+01  ,-4.957178180108e+01  
  1.148153621497e+00  ,-8.980985675406e+01  ,-4.949696850913e+01  
  1.150800388944e+00  ,-8.969770340730e+01  ,-4.942217603412e+01  
  1.153453257821e+00  ,-8.958558148793e+01  ,-4.934740444676e+01  
  1.156112242192e+00  ,-8.947349110223e+01  ,-4.927265381825e+01  
  1.158777356155e+00  ,-8.936143235735e+01  ,-4.919792421985e+01  
  1.161448613840e+00  ,-8.924940536060e+01  ,-4.912321572317e+01  
  1.164126029410e+00  ,-8.913741021858e+01  ,-4.904852839945e+01  
  1.166809617061e+00  ,-8.902544703902e+01  ,-4.897386232057e+01  
  1.169499391020e+00  ,-8.891351592957e+01  ,-4.889921755828e+01  
  1.172195365548e+00  ,-8.880161699799e+01  ,-4.882459418435e+01  
  1.174897554940e+00  ,-8.868975035258e+01  ,-4.874999227124e+01  
  1.177605973521e+00  ,-8.857791610096e+01  ,-4.867541189070e+01  
  1.180320635652e+00  ,-8.846611435234e+01  ,-4.860085311551e+01  
  1.183041555725e+00  ,-8.835434521494e+01  ,-4.852631601802e+01  
  1.185768748167e+00  ,-8.824260879754e+01  ,-4.845180067071e+01  
  1.188502227437e+00  ,-8.813090520945e+01  ,-4.837730714661e+01  
  1.191242008027e+00  ,-8.801923455960e+01  ,-4.830283551823e+01  
  1.193988104464e+00  ,-8.790759695778e+01  ,-4.822838585915e+01  
  1.196740531307e+00  ,-8.779599251338e+01  ,-4.815395824211e+01  
  1.199499303149e+00  ,-8.768442133582e+01  ,-4.807955274029e+01  
  1.202264434617e+00  ,-8.757288353591e+01  ,-4.800516942762e+01  
  1.205035940372e+00  ,-8.746137922334e+01  ,-4.793080837711e+01  
  1.207813835107e+00  ,-8.734990850863e+01  ,-4.785646966298e+01  
  1.210598133550e+00  ,-8.723847150234e+01  ,-4.778215335859e+01  
  1.213388850465e+00  ,-8.712706831515e+01  ,-4.770785953816e+01  
  1.216186000646e+00  ,-8.701569905811e+01  ,-4.763358827549e+01  
  1.218989598925e+00  ,-8.690436384247e+01  ,-4.755933964508e+01  
  1.221799660165e+00  ,-8.679306277937e+01  ,-4.748511372108e+01  
  1.224616199265e+00  ,-8.668179598023e+01  ,-4.741091057792e+01  
  1.227439231158e+00  ,-8.657056355716e+01  ,-4.733673029026e+01  
  1.230268770812e+00  ,-8.645936562133e+01  ,-4.726257293261e+01  
  1.233104833229e+00  ,-8.634820228532e+01  ,-4.718843857989e+01  
  1.235947433445e+00  ,-8.623707366107e+01  ,-4.711432730700e+01  
  1.238796586530e+00  ,-8.612597986133e+01  ,-4.704023918903e+01  
  1.241652307592e+00  ,-8.601492099824e+01  ,-4.696617430122e+01  
  1.244514611771e+00  ,-8.590389718500e+01  ,-4.689213271883e+01  
  1.247383514243e+00  ,-8.579290853407e+01  ,-4.681811451722e+01  
  1.250259030218e+00  ,-8.568195515897e+01  ,-4.674411977200e+01  
  1.253141174941e+00  ,-8.557103717227e+01  ,-4.667014855848e+01  
  1.256029963695e+00  ,-8.546015468824e+01  ,-4.659620095292e+01  
  1.258925411794e+00  ,-8.534930781992e+01  ,-4.652227703089e+01  
  1.261827534591e+00  ,-8.523849668137e+01  ,-4.644837686844e+01  
  1.264736347471e+00  ,-8.512772138663e+01  ,-4.637450054194e+01  
  1.267651865858e+00  ,-8.501698204921e+01  ,-4.630064812703e+01  
  1.270574105209e+00  ,-8.490627878404e+01  ,-4.622681970063e+01  
  1.273503081017e+00  ,-8.479561170486e+01  ,-4.615301533876e+01  
  1.276438808811e+00  ,-8.468498092699e+01  ,-4.607923511820e+01  
  1.279381304158e+00  ,-8.457438656469e+01  ,-4.600547911557e+01  
  1.282330582656e+00  ,-8.446382873300e+01  ,-4.593174740769e+01  
  1.285286659944e+00  ,-8.435330754674e+01  ,-4.585804007119e+01  
  1.288249551693e+00  ,-8.424282312143e+01  ,-4.578435718323e+01  
  1.291219273614e+00  ,-8.413237557224e+01  ,-4.571069882096e+01  
  1.294195841450e+00  ,-8.402196501479e+01  ,-4.563706506142e+01  
  1.297179270984e+00  ,-8.391159156465e+01  ,-4.556345598208e+01  
  1.300169578033e+00  ,-8.380125533766e+01  ,-4.548987166014e+01  
  1.303166778452e+00  ,-8.369095644958e+01  ,-4.541631217322e+01  
  1.306170888132e+00  ,-8.358069501688e+01  ,-4.534277759888e+01  
  1.309181922999e+00  ,-8.347047115544e+01  ,-4.526926801463e+01  
  1.312199899019e+00  ,-8.336028498193e+01  ,-4.519578349864e+01  
  1.315224832192e+00  ,-8.325013661255e+01  ,-4.512232412848e+01  
  1.318256738556e+00  ,-8.314002616415e+01  ,-4.504888998226e+01  
  1.321295634187e+00  ,-8.302995375334e+01  ,-4.497548113796e+01  
  1.324341535195e+00  ,-8.291991949746e+01  ,-4.490209767398e+01  
  1.327394457730e+00  ,-8.280992351315e+01  ,-4.482873966845e+01  
  1.330454417978e+00  ,-8.269996591783e+01  ,-4.475540719968e+01  
  1.333521432163e+00  ,-8.259004682855e+01  ,-4.468210034604e+01  
  1.336595516546e+00  ,-8.248016636313e+01  ,-4.460881918624e+01  
  1.339676687426e+00  ,-8.237032463896e+01  ,-4.453556379894e+01  
  1.342764961138e+00  ,-8.226052177361e+01  ,-4.446233426268e+01  
  1.345860354056e+00  ,-8.215075788530e+01  ,-4.438913065643e+01  
  1.348962882592e+00  ,-8.204103309160e+01  ,-4.431595305901e+01  
  1.352072563194e+00  ,-8.193134751060e+01  ,-4.424280154926e+01  
  1.355189412351e+00  ,-8.182170126078e+01  ,-4.416967620645e+01  
  1.358313446587e+00  ,-8.171209445989e+01  ,-4.409657710940e+01  
  1.361444682466e+00  ,-8.160252722689e+01  ,-4.402350433756e+01  
  1.364583136589e+00  ,-8.149299968000e+01  ,-4.395045797026e+01  
  1.367728825596e+00  ,-8.138351193789e+01  ,-4.387743808670e+01  
  1.370881766165e+00  ,-8.127406411973e+01  ,-4.380444476659e+01  
  1.374041975013e+00  ,-8.116465634370e+01  ,-4.373147808908e+01  
  1.377209468894e+00  ,-8.105528872897e+01  ,-4.365853813392e+01  
  1.380384264603e+00  ,-8.094596139478e+01  ,-4.358562498100e+01  
  1.383566378972e+00  ,-8.083667446035e+01  ,-4.351273870970e+01  
  1.386755828872e+00  ,-8.072742804448e+01  ,-4.343987940001e+01  
  1.389952631213e+00  ,-8.061822226713e+01  ,-4.336704713187e+01  
  1.393156802945e+00  ,-8.050905724730e+01  ,-4.329424198509e+01  
  1.396368361056e+00  ,-8.039993310453e+01  ,-4.322146403970e+01  
