  Frequency            , dB( V(Vs4)/ V(Ve))   
  1.000000000000e+00  ,-8.646689139980e+01  
  1.002305238078e+00  ,-8.637096512216e+01  
  1.004615790278e+00  ,-8.627505571715e+01  
  1.006931668852e+00  ,-8.617916324706e+01  
  1.009252886077e+00  ,-8.608328777387e+01  
  1.011579454260e+00  ,-8.598742935951e+01  
  1.013911385737e+00  ,-8.589158806641e+01  
  1.016248692871e+00  ,-8.579576395729e+01  
  1.018591388054e+00  ,-8.569995709470e+01  
  1.020939483708e+00  ,-8.560416754142e+01  
  1.023292992281e+00  ,-8.550839536032e+01  
  1.025651926251e+00  ,-8.541264061469e+01  
  1.028016298126e+00  ,-8.531690336766e+01  
  1.030386120442e+00  ,-8.522118368309e+01  
  1.032761405761e+00  ,-8.512548162416e+01  
  1.035142166679e+00  ,-8.502979725498e+01  
  1.037528415818e+00  ,-8.493413063913e+01  
  1.039920165829e+00  ,-8.483848184111e+01  
  1.042317429393e+00  ,-8.474285092453e+01  
  1.044720219221e+00  ,-8.464723795460e+01  
  1.047128548051e+00  ,-8.455164299551e+01  
  1.049542428652e+00  ,-8.445606611158e+01  
  1.051961873823e+00  ,-8.436050736861e+01  
  1.054386896391e+00  ,-8.426496683096e+01  
  1.056817509214e+00  ,-8.416944456374e+01  
  1.059253725177e+00  ,-8.407394063271e+01  
  1.061695557199e+00  ,-8.397845510303e+01  
  1.064143018224e+00  ,-8.388298804038e+01  
  1.066596121230e+00  ,-8.378753951102e+01  
  1.069054879223e+00  ,-8.369210958057e+01  
  1.071519305238e+00  ,-8.359669831502e+01  
  1.073989412341e+00  ,-8.350130578099e+01  
  1.076465213630e+00  ,-8.340593204445e+01  
  1.078946722230e+00  ,-8.331057717233e+01  
  1.081433951298e+00  ,-8.321524123157e+01  
  1.083926914021e+00  ,-8.311992428884e+01  
  1.086425623617e+00  ,-8.302462641083e+01  
  1.088930093333e+00  ,-8.292934766524e+01  
  1.091440336449e+00  ,-8.283408811903e+01  
  1.093956366272e+00  ,-8.273884783998e+01  
  1.096478196143e+00  ,-8.264362689563e+01  
  1.099005839433e+00  ,-8.254842535383e+01  
  1.101539309541e+00  ,-8.245324328230e+01  
  1.104078619902e+00  ,-8.235808074973e+01  
  1.106623783978e+00  ,-8.226293782381e+01  
  1.109174815262e+00  ,-8.216781457319e+01  
  1.111731727282e+00  ,-8.207271106598e+01  
  1.114294533592e+00  ,-8.197762737165e+01  
  1.116863247781e+00  ,-8.188256355863e+01  
  1.119437883467e+00  ,-8.178751969587e+01  
  1.122018454302e+00  ,-8.169249585258e+01  
  1.124604973967e+00  ,-8.159749209786e+01  
  1.127197456176e+00  ,-8.150250850136e+01  
  1.129795914673e+00  ,-8.140754513284e+01  
  1.132400363236e+00  ,-8.131260206160e+01  
  1.135010815672e+00  ,-8.121767935790e+01  
  1.137627285823e+00  ,-8.112277709139e+01  
  1.140249787561e+00  ,-8.102789533245e+01  
  1.142878334790e+00  ,-8.093303415133e+01  
  1.145512941446e+00  ,-8.083819361863e+01  
  1.148153621497e+00  ,-8.074337380474e+01  
  1.150800388944e+00  ,-8.064857478041e+01  
  1.153453257821e+00  ,-8.055379661665e+01  
  1.156112242192e+00  ,-8.045903938423e+01  
  1.158777356155e+00  ,-8.036430315434e+01  
  1.161448613840e+00  ,-8.026958799849e+01  
  1.164126029410e+00  ,-8.017489398789e+01  
  1.166809617061e+00  ,-8.008022119445e+01  
  1.169499391020e+00  ,-7.998556968954e+01  
  1.172195365548e+00  ,-7.989093954495e+01  
  1.174897554940e+00  ,-7.979633083300e+01  
  1.177605973521e+00  ,-7.970174362546e+01  
  1.180320635652e+00  ,-7.960717799467e+01  
  1.183041555725e+00  ,-7.951263401338e+01  
  1.185768748167e+00  ,-7.941811175355e+01  
  1.188502227437e+00  ,-7.932361128816e+01  
  1.191242008027e+00  ,-7.922913268995e+01  
  1.193988104464e+00  ,-7.913467603184e+01  
  1.196740531307e+00  ,-7.904024138676e+01  
  1.199499303149e+00  ,-7.894582882802e+01  
  1.202264434617e+00  ,-7.885143842905e+01  
  1.205035940372e+00  ,-7.875707026295e+01  
  1.207813835107e+00  ,-7.866272440376e+01  
  1.210598133550e+00  ,-7.856840092459e+01  
  1.213388850465e+00  ,-7.847409989982e+01  
  1.216186000646e+00  ,-7.837982140300e+01  
  1.218989598925e+00  ,-7.828556550853e+01  
  1.221799660165e+00  ,-7.819133229042e+01  
  1.224616199265e+00  ,-7.809712182302e+01  
  1.227439231158e+00  ,-7.800293418096e+01  
  1.230268770812e+00  ,-7.790876943847e+01  
  1.233104833229e+00  ,-7.781462767045e+01  
  1.235947433445e+00  ,-7.772050895161e+01  
  1.238796586530e+00  ,-7.762641335718e+01  
  1.241652307592e+00  ,-7.753234096194e+01  
  1.244514611771e+00  ,-7.743829184129e+01  
  1.247383514243e+00  ,-7.734426607020e+01  
  1.250259030218e+00  ,-7.725026372438e+01  
  1.253141174941e+00  ,-7.715628487920e+01  
  1.256029963695e+00  ,-7.706232961033e+01  
  1.258925411794e+00  ,-7.696839799358e+01  
  1.261827534591e+00  ,-7.687449010482e+01  
  1.264736347471e+00  ,-7.678060602013e+01  
  1.267651865858e+00  ,-7.668674581515e+01  
  1.270574105209e+00  ,-7.659290956680e+01  
  1.273503081017e+00  ,-7.649909735080e+01  
  1.276438808811e+00  ,-7.640530924399e+01  
  1.279381304158e+00  ,-7.631154532277e+01  
  1.282330582656e+00  ,-7.621780566374e+01  
  1.285286659944e+00  ,-7.612409034348e+01  
  1.288249551693e+00  ,-7.603039943919e+01  
  1.291219273614e+00  ,-7.593673302773e+01  
  1.294195841450e+00  ,-7.584309118598e+01  
